user,item,rating
433,185,6
433,27,8
433,190,2
433,44,2
433,46,3
433,220,6
433,36,1
433,198,3
433,237,1
433,18,1
433,94,2
433,191,10
433,119,1
433,114,1
433,32,1
433,157,3
433,105,3
433,193,3
269,27,9
269,185,5
269,76,7
269,160,6
269,191,10
386,103,3
386,61,1
386,27,5
386,57,6
386,201,4
386,46,3
386,17,2
386,36,6
386,9,1
386,198,1
386,221,5
386,165,3
386,192,9
386,94,3
386,56,10
386,191,9
386,194,2
386,105,3
386,205,5
154,161,6
154,228,3
154,119,1
154,198,6
154,61,1
154,101,5
154,46,2
154,94,3
154,184,3
154,138,5
154,27,7
154,191,10
1,195,8
1,138,3
1,185,3
1,130,4
1,61,4
1,94,3
1,57,9
1,201,7
1,46,4
1,181,7
1,151,4
1,24,4
1,184,2
1,221,6
1,213,3
1,76,2
1,36,6
1,198,5
1,237,4
1,67,4
1,27,6
1,132,1
1,114,2
1,230,10
1,194,4
1,119,4
1,105,7
279,185,3
279,231,3
279,61,5
279,27,10
279,26,2
279,52,4
279,54,2
279,201,5
279,46,5
279,36,4
279,9,6
279,220,6
279,76,3
279,221,4
279,198,6
279,57,6
279,133,2
279,228,4
279,215,5
279,119,5
279,138,8
279,32,5
279,154,8
279,230,5
279,194,5
279,58,2
344,195,2
344,114,3
344,145,4
344,185,5
344,27,10
344,231,1
344,61,3
344,143,3
344,52,5
344,57,5
344,160,2
344,201,6
344,100,2
344,181,2
344,46,6
344,184,6
344,132,2
344,238,4
344,213,2
344,9,6
344,165,3
344,220,4
344,76,6
344,130,3
344,36,6
344,198,8
344,237,3
344,192,4
344,125,3
344,94,5
344,142,4
344,228,4
344,194,3
344,119,4
344,138,5
344,196,4
344,75,5
344,154,4
344,230,4
344,221,5
344,53,1
344,107,5
149,195,8
149,111,4
149,114,4
149,145,6
149,197,3
149,185,9
149,58,5
149,143,2
149,130,5
149,9,6
149,126,1
149,61,5
149,94,6
149,158,2
149,0,1
149,26,3
149,222,1
149,52,6
149,91,3
149,155,4
149,54,3
149,201,7
149,42,1
149,151,1
149,113,2
149,235,1
149,181,6
149,46,7
149,184,4
149,144,1
149,221,5
149,154,6
149,213,4
149,217,4
149,90,3
149,160,7
149,12,2
149,204,5
149,231,6
149,198,4
149,220,2
149,76,7
149,238,5
149,224,5
149,165,1
149,237,6
149,183,2
149,146,1
149,192,2
149,18,2
149,125,4
149,10,4
149,27,10
149,57,5
149,150,3
149,36,6
149,133,5
149,179,3
149,47,3
149,228,6
149,168,2
149,215,3
149,119,6
149,138,8
149,141,1
149,7,1
149,157,1
149,230,8
149,194,5
149,2,2
149,107,5
149,105,3
155,185,8
155,130,8
155,3,5
155,61,5
155,27,9
155,68,6
155,52,3
155,57,5
155,201,6
155,46,9
155,238,8
155,36,10
155,192,1
155,119,5
155,138,3
155,230,6
155,194,1
155,107,4
155,116,8
140,217,1
140,47,2
140,145,4
140,185,10
140,58,3
140,0,1
140,130,6
140,126,7
140,61,6
140,27,5
140,132,1
140,129,3
140,68,9
140,14,4
140,113,3
140,91,5
140,155,3
140,57,5
140,201,5
140,96,3
140,151,1
140,52,8
140,181,4
140,46,8
140,236,2
140,12,4
140,48,1
140,36,9
140,39,7
140,29,2
140,142,5
140,170,1
140,184,2
140,204,2
140,9,5
140,165,3
140,220,4
140,194,5
140,44,1
140,238,5
140,224,4
140,198,5
140,237,3
140,183,5
140,192,1
140,73,3
140,2,5
140,125,5
140,94,6
140,56,1
140,191,4
140,133,5
140,173,3
140,178,3
140,228,3
140,87,4
140,119,7
140,210,1
140,138,7
140,139,3
140,230,9
140,221,7
140,193,4
140,128,5
140,107,4
140,11,1
140,116,5
140,105,3
241,27,4
241,94,1
241,191,10
241,193,2
118,217,10
118,114,2
118,145,4
118,103,7
118,12,2
118,61,3
118,94,4
118,26,7
118,183,1
118,57,7
118,201,8
118,42,6
118,46,3
118,181,7
118,151,1
118,24,6
118,238,3
118,221,6
118,185,4
118,198,7
118,155,3
118,27,7
